15007 23000
00:00:16 4090 1777
00:00:18 4051 2054
00:00:23 4034 1691
00:00:29 5136 2178
00:00:33 4637 1170
00:00:35 8726 1583
00:00:37 6040 2133
00:00:38 7457 2240
00:00:39 4713 2082
00:00:59 2450 2299
00:01:02 8728 1679
00:01:04 7970 1319
00:01:05 1538 1640
00:01:36 4632 1943
00:01:37 7457 1517
00:01:47 3405 1545
00:02:00 6882 1118
00:02:03 1900 1790
00:02:06 3075 1930
00:02:09 4666 1385
00:02:11 9232 2057
00:02:16 8862 1295
00:02:22 5979 1651
00:02:24 4956 1905
00:02:26 4274 1214
00:02:37 5584 1600
00:02:40 1062 2119
00:02:48 4632 1840
00:03:00 7512 1273
00:03:05 9270 1860
00:03:08 6028 2129
00:03:17 4090 1909
00:03:18 5346 1315
00:03:19 6945 2276
00:03:26 8726 1374
00:03:32 4894 1275
00:03:35 1062 1817
00:03:41 6981 2032
00:03:55 2445 2239
00:04:06 2256 1633
00:04:09 7512 1371
00:04:13 7288 1943
00:04:15 8951 1938
00:04:21 7093 1182
00:04:30 6238 2114
00:04:35 3676 1691
00:04:45 3676 1188
00:04:47 6882 2173
00:04:50 8127 1800
00:04:54 4823 2033
00:04:57 9063 2135
00:05:02 6125 1063
00:05:15 6981 1651
00:05:22 7223 1220
00:05:24 9063 1252
00:05:32 7223 2207
00:05:45 8127 1014
00:05:50 7803 1933
00:05:56 6722 1750
00:06:03 9221 1218
00:06:05 5382 1013
00:06:13 3889 1621
00:06:16 4956 1787
00:06:21 3833 1805
00:06:23 2450 1530
00:06:32 6945 2285
00:06:36 3277 2279
00:06:52 9063 1816
00:07:03 1538 1166
00:07:04 4535 1178
00:07:07 8510 1546
00:07:14 8218 1439
00:07:23 3889 2044
00:07:33 1758 1259
00:07:36 8432 1186
00:07:42 1699 1523
00:07:56 7803 1915
00:08:00 6409 2051
00:08:21 8223 1244
00:08:22 3213 1454
00:08:25 5854 1470
00:08:26 5854 1180
00:08:31 8432 1542
00:08:34 3421 1993
00:08:37 5730 1505
00:08:41 4632 1643
00:08:43 4842 1381
00:08:44 4493 1096
00:08:54 8412 1216
00:09:04 4713 1448
00:09:17 5979 1345
00:09:18 5336 1817
00:09:35 3213 2046
00:09:40 2582 2228
00:09:46 8432 1897
00:09:54 9853 2218
00:09:57 2862 1853
00:10:03 4493 2001
